name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Edmonton,2023-02-25,-6.7,-20.8,-12.7,-10.4,-26.9,-17.3,-18.1,64.8,0,0,0,snow,0.1,15.3,23,13.1,203.8,1007.7,49.2,23,96.8,8.3,4,10,2023-02-25T07:31:00,2023-02-25T18:03:58,0.18,Partially cloudy,Partly cloudy throughout the day.,snow,"71123399999,71157099999,71123099999,CXEG,71155099999,CXEC,AU867"
Edmonton,2023-02-26,-7.5,-15,-11.3,-10.2,-20.9,-15.3,-16.9,63.7,0,0,0,,0,14.9,17.3,11.3,44.4,994.5,68.2,23.2,123.6,10.6,5,10,2023-02-26T07:28:44,2023-02-26T18:05:55,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71123399999,71157099999,71127099999,71123099999,CXEG,71238099999,71155099999,CXEC,AU867"
Edmonton,2023-02-27,-3.1,-12.2,-9,-3.1,-17,-12.6,-13.8,69.3,0,0,0,snow,0.4,14.7,25.9,11.4,299.9,1003.8,36.1,23.5,119.7,10.3,5,10,2023-02-27T07:26:27,2023-02-27T18:07:51,0.25,Partially cloudy,Partly cloudy throughout the day.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,CXEC,AU867"
Edmonton,2023-02-28,-10.4,-14.7,-12.5,-16.1,-21,-18.5,-15.7,76.9,0.251,100,12.5,snow,0.1,15.4,27.4,16.7,93.6,1011,75.4,16.6,68.5,5.8,3,10,2023-02-28T07:24:10,2023-02-28T18:09:47,0.28,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,CXEC,AU867"
Edmonton,2023-03-01,-6.6,-13,-9.6,-10.3,-18.6,-13.9,-13.8,72.5,0.24,100,12.5,snow,0.2,15,27.4,11.3,178.7,1008,58.4,17.4,96.2,8.3,4,10,2023-03-01T07:21:52,2023-03-01T18:11:42,0.31,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,CXEC,AU867"
Edmonton,2023-03-02,5.4,-7.9,-1.9,1.9,-12.3,-5.1,-9.9,56.6,0.009,100,8.33,"rain,snow",0.3,12.4,48.2,36,274.4,994.1,59.1,20,97.9,8.4,7,10,2023-03-02T07:19:33,2023-03-02T18:13:37,0.34,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,E5507,CZOL,CXEC,AU867"
Edmonton,2023-03-03,1.3,-8.7,-3.3,-2.7,-10.4,-6.8,-12.6,49.7,0,0,0,snow,0,10.6,33.5,18.3,277.9,1002,33.4,23.3,108.8,9.3,5,10,2023-03-03T07:17:13,2023-03-03T18:15:32,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71121099999,71123399999,71157099999,71127099999,71123099999,CXEG,71155099999,E5507,CZOL,CXEC,AU867"
Edmonton,2023-03-04,-7.8,-14,-10.1,-9.2,-21,-14.9,-15,68.2,0,0,0,snow,0.3,13.7,23,14.8,351.8,1015.5,44.9,22.4,97.4,8.3,5,10,2023-03-04T07:14:53,2023-03-04T18:17:27,0.41,Partially cloudy,Partly cloudy throughout the day.,snow,"71123399999,71157099999,71127099999,71123099999,CXEG,71238099999,71155099999,CXEC,AU867,C6614"
Edmonton,2023-03-05,-13.5,-18,-15.5,-14,-23.7,-20.5,-20.1,68.1,0.241,100,8.33,snow,0.8,14.5,23,14.7,92.8,1030.6,76.2,16.7,122.7,10.5,6,10,2023-03-05T07:12:32,2023-03-05T18:19:21,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71123399999,71157099999,71127099999,71123099999,71238099999,CXEG,71155099999,E5507,CXEC,AU867,C6614"
Edmonton,2023-03-06,-14.1,-17.2,-15.6,-20,-26.1,-23.3,-19.7,70.8,0.478,100,16.67,snow,3,16.8,33.5,20.5,133.2,1033.3,72.1,12.3,83.1,7,3,10,2023-03-06T07:10:11,2023-03-06T18:21:15,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,CXEC,AU867,C6614"
Edmonton,2023-03-07,-9.5,-16.8,-13.8,-16.2,-23.4,-20.8,-17.8,72.1,0.287,100,4.17,snow,0,16.6,34.6,26,133.1,1032.1,34.4,22.4,136.6,11.7,5,10,2023-03-07T07:07:49,2023-03-07T18:23:09,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,71238099999,71155099999,CXEC,AU867,C6614"
Edmonton,2023-03-08,-13.7,-19.8,-16.4,-20.3,-27.6,-23.7,-20.1,73.1,0,0,0,snow,0,16.1,27.4,14.9,116.5,1037.9,56.9,16.9,89.5,7.7,3,10,2023-03-08T07:05:26,2023-03-08T18:25:02,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,CXEC,AU867,C6614"
Edmonton,2023-03-09,-11.2,-18.3,-14.9,-18.6,-26.3,-23,-18.8,72.5,0,0,0,,0,16,38.9,31.3,133.8,1031.2,46.5,19.7,121,10.4,6,10,2023-03-09T07:03:03,2023-03-09T18:26:55,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,CXEC,AU867,C6614"
Edmonton,2023-03-10,-9.8,-17.2,-12.7,-13.4,-24.3,-18.9,-16,76.5,0,0,0,snow,0.1,15.8,31.7,20.5,108.3,1018.3,76.4,15.3,97.9,8.2,4,10,2023-03-10T07:00:40,2023-03-10T18:28:48,0.61,Partially cloudy,Partly cloudy throughout the day.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,CXEC,AU867,C6614"
Edmonton,2023-03-11,-6.1,-16.8,-10.6,-6.4,-17.2,-12.8,-14.3,75.1,0.238,100,4.17,snow,0.3,15.4,17.3,10.9,119.2,1025,60.2,15,151.5,13,6,10,2023-03-11T06:58:16,2023-03-11T18:30:41,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71123399999,71157099999,71127099999,71123099999,CXEG,71238099999,71155099999,CZOL,CXEC,AU867,C6614"
Edmonton,2023-03-12,-5.6,-16.5,-11.1,-9.9,-21.8,-15.3,-14.5,76.6,0,0,0,,0.1,14.7,27.7,16.3,155.2,1024.8,66.2,16.2,140,11.5,7,10,2023-03-12T07:55:52,2023-03-12T19:32:34,0.69,Partially cloudy,Partly cloudy throughout the day.,snow,"CXEG,CZOL,CXEC,remote,AU867"
